Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,G2_KL110_GCA_964037185,G2_KL111_GCA_964046125,G2_KL112_GCA_964050255,G2_KL113_ERR999925,G2_KL114_ERR9845308,G2_KL115_GCA_964038575,G2_KL116_GCA_964050505,G2_KL117_GCA_964047655,G2_KL118_GCA_964041045,G2_KL119_ERR3970455,G2_KL120_GCA_964038565,G2_KL121_GCA_964053085,G2_KL122_GCA_964045655,G2_KL123_GCA_964038935,G2_KL124_GCA_964049275,G2_KL125_SAMN04993121,G2_KL126_GCA_964044195,G2_KL127_GCA_964042775,G2_KL128_SAMN04096287,G2_KL129_ERR435357,G2_KL130_ERR3970833,G2_KL131_SAMEA3322059,G2_KL133_GCA_964049825,G2_KL134_GCA_964044685,G2_KL135_ERR4034834,G2_KL137_GCA_964038275,G2_KL138_GCA_964050115,G2_KL139_ERR434849,G2_KL141_ERR435091,G2_KL142_GCA_964052785,G2_KL144_ERR4034177,G2_KL145_ERR435060,G2_KL146_ERR435310,G2_KL148_GCA_964052375,G2_KL149_ERR434290,G2_KL153_SAMEA3357406,G2_KL154_GCA_964055465,G2_KL155_SAMEA4428255,G2_KL156_GCA_964040975,G2_KL157_GCA_964038965,G2_KL159_GCA_964044845,G2_KL161_ERR3970235,G2_KL164_SRR6111979,G2_KL165_SAMN07177512,G2_KL167_GCA_964054585,G2_KL169_GCA_964048365,G2_KL170_SAMN02801815,G2_KL171_ERR13369634,G2_KL174_SAMEA4559551,G2_KL175_ERR13499600,K100_G2_KL100_CP013658,K12_G2_KL12_GCA_964041105,K13-K23_G2_KL13_ERR999921,K14_G2_KL14_GCA_964036905,K15_G2_KL15_CP000247,K16_G2_KL16_GCA_964043075,K1_G2_KL1_CP000243,K20_G2_KL20_MG739438,K24_G2_KL24_GCA_964052925,K2_G2_KL2_MG736912,K4_G2_KL4_GCA_964038165,K52_G2_KL52_CU928163,K53_G2_KL53_GCA_964056125,K5_G2_KL5_CP013831,K7_G2_KL7_GCA_964052145,K82_G2_KL82_GCA_964037765,K92_G2_KL92_MG739441,K93_G2_KL93_ERR1036227
kpsF,kpsF,Polysialic acid capsule expression protein,68,68,1,1,56,,,1,984,984,984,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsE,kpsE,Capsule polysaccharide export inner-membrane protein,68,68,1,1,108,,,2,1149,1149,1149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsD,kpsD,Polysialic acid transport protein,68,68,1,1,54,,,3,1677,1677,1677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsU,kpsU,3-deoxy-manno-octulosonate cytidylyltransferase,68,68,1,1,49,,,4,741,741,741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsC,kpsC,Capsule polysaccharide export protein KpsC,68,68,1,1,69,,,5,1449,2073,2020.1470588235295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsS,kpsS,kpsS-protein,67,67,1,1,80,,,6,981,1368,1224.6716417910447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsM,kpsM,polysialic-acid-transport-protein-KpsM,66,66,1,1,97,,,7,726,855,779.5454545454545,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsT,kpsT,Polysialic acid transport ATP-binding protein KpsT,67,67,1,1,100,,,8,654,693,671.7761194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1
kpsC_3,kpsC_3,KpsC protein,1,1,1,1,29,,,9,2130,2130,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
kpsS_4,kpsS_4,KpsS protein,1,1,1,1,90,,,10,1251,1251,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
